C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
160,200000,160,0,,population2d,,,,0.7913499999999969,,,,,0.00014472007751464844,1.578650712966919,lp-sparse,0,,,3
160,200000,160,0,,population2d,,,,0.7732499999999978,,,,,0.0002665519714355469,1.4596977233886719,lp-sparse,0,,,4
160,200000,160,0,,population2d,,,,0.71115,,,,,0.00010919570922851562,1.4419147968292236,lp-sparse,0,,,5
160,200000,160,0,,population2d,,,,0.7136149999999999,,,,,0.00011110305786132812,1.495741605758667,lp-sparse,0,,,6
160,200000,160,0,,population2d,,,,0.793280000000002,,,,,0.0002372264862060547,1.4446864128112793,lp-sparse,0,,,7
160,200000,160,0,,population2d,,,,0.992829999999999,,,,,0.0001499652862548828,1.2505922317504883,lp-sparse,0,,,8
160,200000,160,0,,population2d,,,,0.9829650000000014,,,,,0.00010538101196289062,1.2523150444030762,lp-sparse,0,,,9
160,200000,160,0,,population2d,,,,0.7338549999999997,,,,,0.00013637542724609375,1.6246745586395264,lp-sparse,0,,,10
160,200000,160,0,,population2d,,,,0.7153600000000031,,,,,0.000110626220703125,1.7163279056549072,lp-sparse,0,,,11
160,200000,160,0,,population2d,,,,0.809655,,,,,0.00013256072998046875,1.7083873748779297,lp-sparse,0,,,12
160,200000,160,0,,population2d,,,,0.9936199999999993,,,,,0.00010824203491210938,1.2450041770935059,lp-sparse,0,,,13
160,200000,160,0,,population2d,,,,0.8352950000000012,,,,,0.00011110305786132812,1.3406269550323486,lp-sparse,0,,,14
160,200000,160,0,,population2d,,,,0.85595,,,,,0.00010132789611816406,1.4640865325927734,lp-sparse,0,,,15
160,200000,160,0,,population2d,,,,0.9981649999999993,,,,,9.751319885253906e-05,1.1134696006774902,lp-sparse,0,,,16
160,200000,160,0,,population2d,,,,0.9731600000000005,,,,,0.00011420249938964844,1.1858911514282227,lp-sparse,0,,,17
160,200000,160,0,,population2d,,,,0.7545199999999999,,,,,0.00010609626770019531,1.425856113433838,lp-sparse,0,,,18
160,200000,160,0,,population2d,,,,0.7332800000000004,,,,,0.0002353191375732422,1.3676955699920654,lp-sparse,0,,,19
160,200000,160,0,,population2d,,,,0.8024949999999995,,,,,0.00011157989501953125,1.4396584033966064,lp-sparse,0,,,20
,10000,,,0.0,transport,294.31469110563006,0.0,100,,exact,100,294.31469110563006,0.04910540580749512,0.0008156299591064453,0.08176302909851074,,,0.05,30,1
,10000,,,0.0,transport,299.867326423545,0.0,100,,exact,100,299.867326423545,0.04900527000427246,0.0011851787567138672,0.04987931251525879,,,0.05,30,2
,10000,,,0.0,transport,297.50314015341104,0.0,100,,exact,100,297.50314015341104,0.049986839294433594,0.0009562969207763672,0.05319952964782715,,,0.05,30,3
,10000,,,0.0,transport,229.2074602754887,0.0,100,,exact,100,229.2074602754887,0.04857826232910156,0.0011200904846191406,0.050635576248168945,,,0.05,30,4
,10000,,,0.0,transport,329.84995265949226,0.0,100,,exact,100,329.84995265949226,0.050772905349731445,0.0012745857238769531,0.04886579513549805,,,0.05,30,5
,10000,,,0.0,transport,274.04942616640517,0.0,100,,exact,100,274.04942616640517,0.0464932918548584,0.0010464191436767578,0.04662489891052246,,,0.05,30,6
,10000,,,0.0,transport,255.8787207171671,0.0,100,,exact,100,255.8787207171671,0.04565095901489258,0.0011725425720214844,0.04310894012451172,,,0.05,30,7
,10000,,,0.0,transport,294.26946283173373,0.0,100,,exact,100,294.26946283173373,0.04305768013000488,0.0011768341064453125,0.045476675033569336,,,0.05,30,8
,10000,,,0.0,transport,326.3174287014034,0.0,100,,exact,100,326.3174287014034,0.04600191116333008,0.0011720657348632812,0.044931888580322266,,,0.05,30,9
,10000,,,0.0,transport,268.3792783832541,0.0,100,,exact,100,268.3792783832541,0.04533815383911133,0.001203775405883789,0.04622650146484375,,,0.05,30,10
,10000,,,0.0,transport,285.20728083539655,0.0,100,,exact,100,285.20728083539655,0.044568538665771484,0.0011067390441894531,0.042711734771728516,,,0.05,30,11
,10000,,,0.0,transport,302.82192562766,0.0,100,,exact,100,302.82192562766,0.045014142990112305,0.0007677078247070312,0.04451489448547363,,,0.05,30,12
,10000,,,0.0,transport,258.0942072469232,0.0,100,,exact,100,258.0942072469232,0.04477214813232422,0.0009622573852539062,0.04535508155822754,,,0.05,30,13
,10000,,,0.0,transport,309.7942227490465,0.0,100,,exact,100,309.7942227490465,0.043981075286865234,0.0009129047393798828,0.07876324653625488,,,0.05,30,14
